uid,movie_title,movie_director,movie_sumary,movie_rating,movie_gender,movie_duration,movie_year,movie_host_uid
50,Midsommar: el terror no espera la noche,Ari Aster,A couple travels to Sweden to visit a rural hometowns fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,7.1,"Drama, Horror, Mystery",2h 28min,2019,imdb
51,V de venganza,James McTeigue,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of V, plots to overthrow it with the help of a young woman.",8.2,"Action, Drama, Sci-Fi",2h 12min,2005,imdb
52,007 contra Goldfinger,Guy Hamilton,"While investigating a gold magnates smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",7.7,"Action, Adventure, Thriller",1h 50min,1964,imdb
53,Entre navajas y secretos,Rian Johnson,"A detective investigates the death of a patriarch of an eccentric, combative family.",7.9,"Comedy, Crime, Drama",2h 10min,2019,imdb
54,The Shining,Stanley Kubrick,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",8.4,"Drama, Horror",2h 26min,1980,imdb
55,Unhinged,Derrick Borte,"After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.",6.0,"Action, Thriller",1h 30min,2020,imdb
56,Parásito,Bong Joon Ho,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,8.6,"Comedy, Drama, Thriller",2h 12min,2019,imdb
57,The Hunt for Red October,John McTiernan,"In November 1984, the Soviet Unions best submarine Captain in their newest sub violates orders and heads for the U.S. Is he trying to defect or to start a war?",7.6,"Action, Adventure, Thriller",2h 15min,1990,imdb
58,Indiana Jones and the Last Crusade,Steven Spielberg,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry Indiana Jones, Jr. finds himself up against , s Nazis again to stop them from obtaining its powers.",8.2,"Action, Adventure",2h 7min,1989,imdb
59,Scream,Wes Craven,"A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.",7.2,"Horror, Mystery",1h 51min,1996,imdb
60,Había una vez en Hollywood,Quentin Tarantino,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywoods Golden Age in 1969 Los Angeles.,7.6,"Comedy, Drama",2h 41min,2019,imdb
61,Coco,"Lee Unkrich', 'Adrian Molina","Aspiring musician Miguel, confronted with his familys ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",8.4,"Animation, Adventure, Family",1h 45min,2017,imdb
