movie_director,movie_duration,movie_gender,movie_rating,movie_sumary,movie_title,movie_year
['John Huston'],['\n                        2h 9min\n                    '],"['Adventure', 'History', 'War']",['7.8'],"['\n                    Two British former soldiers decide to set themselves up as Kings in Kafiristan, a land where no white man has set foot since Alexander the Great.\n            ']",['The Man Who Would Be King\xa0'],['1975']
['Mark Williams'],['\n                        1h 39min\n                    '],"['Action', 'Crime', 'Drama']",['6.1'],"['\n                    Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.\n            ']",['Honest Thief\xa0'],['2020']
['Tim Burton'],['\n                        1h 45min\n                    '],"['Fantasy', 'Horror', 'Mystery']",['7.3'],"['\n                    Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people, with the culprit being the legendary apparition, The Headless Horseman.\n            ']",['Sleepy Hollow\xa0'],['1999']
['Drew Goddard'],['\n                        1h 35min\n                    '],['Horror'],['7.0'],"['\n                    Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.\n            ']",['The Cabin in the Woods\xa0'],['2011']
['George Clooney'],[],"['Drama', 'Fantasy', 'Sci-Fi']",[],"['\n                    This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.\n            ']",['The Midnight Sky\xa0'],['2020']
['Jenny Gage'],['\n                        1h 45min\n                    '],"['Drama', 'Romance']",['5.3'],"['\n                    A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by ', '.\n            ']",['After: Aquí empieza todo\xa0'],['2019']
['William Friedkin'],['\n                        2h 2min\n                    '],['Horror'],['8.0'],"['\n                    When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.\n            ']",['The Exorcist\xa0'],['1973']
['Todd Phillips'],['\n                        2h 2min\n                    '],"['Crime', 'Drama', 'Thriller']",['8.5'],"['\n                    In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.\n            ']",['Guasón\xa0'],['2019']
['Gabriel Range'],['\n                        1h 49min\n                    '],['Drama'],['4.0'],"[""\n                    Stardust will chronicle the young David Bowie's first visit to the US in 1971 - a trip that inspired the invention of his iconic alter ego Ziggy Stardust.\n            ""]",['Stardust\xa0'],['2020']
"['Anthony Russo', 'Joe Russo']",['\n                        3h 1min\n                    '],"['Action', 'Adventure', 'Drama']",['8.4'],"['\n                    After the devastating events of ', "" (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.\n            ""]",['Avengers: Endgame\xa0'],['2019']
['Veena Sud'],['\n                        1h 37min\n                    '],"['Crime', 'Drama', 'Horror']",['5.8'],"[""\n                    A father and daughter are on their way to dance camp when they spot the girl's best friend on the side of the road. When they stop to offer the friend a ride, their good intentions soon result in terrible consequences.\n            ""]",['Between Earth and Sky\xa0'],['2018']
['Will Gluck'],['\n                        1h 32min\n                    '],"['Comedy', 'Drama', 'Romance']",['7.0'],"[""\n                    A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.\n            ""]",['Easy A\xa0'],['2010']
